ds,yhat,yhat_lower,yhat_upper
2014-01-01,3639.567191684714,2914.0823136806894,4333.20892342072
2014-02-01,1427.3189068345982,737.2738328193126,2088.445943015185
2014-03-01,1818.121342282647,1137.1426116059563,2543.0442289534253
2014-04-01,1655.0417843141154,962.202961421182,2333.7284230922533
2014-05-01,1283.5178966255153,574.4969983549107,2001.5743432424506
2014-06-01,2680.170820215394,1973.5919739578635,3398.091629556433
2014-07-01,1950.9818736496786,1286.9942746296897,2686.6232849946
2014-08-01,775.7405655674261,69.04585875632283,1556.3373391774526
2014-09-01,1991.7362672754089,1302.4335435654605,2629.0432782467446
2014-10-01,2932.0775587711314,2201.889032040421,3640.655151397455
2014-11-01,1774.8992063617366,1052.7517186673358,2480.237716894419
2014-12-01,1208.7913902758937,551.4176937124085,1870.9752733525079
2015-01-01,2940.1669670640426,2307.6759150861885,3583.094567542963
2015-02-01,2238.648701170443,1574.0994287905912,2933.1704936427345
2015-03-01,4069.0176031187393,3369.909611705963,4727.273627568864
2015-04-01,2920.9224613775486,2187.4455771918474,3563.89989151055
2015-05-01,2049.817150202873,1411.0183165217313,2751.71407880343
2015-06-01,3374.3486273193967,2648.5255053322003,4058.787190356912
2015-07-01,2964.6801401836924,2289.7825306179734,3667.9113603123005
2015-08-01,2506.3749850451954,1802.7953762521722,3231.7921291261778
2015-09-01,2986.865697910487,2292.1418626529075,3647.0675903041
2015-10-01,3808.89526055725,3098.248300068241,4483.026288225442
2015-11-01,2901.109417168939,2232.757240145919,3596.189915670303
2015-12-01,3713.0054898841445,2996.274479955331,4445.484800370836
2016-01-01,2231.1818495128996,1579.2719294908165,2920.924810573839
2016-02-01,3094.2786340532357,2437.112985393874,3754.5562745367783
2016-03-01,1832.9890826432243,1131.8692282251136,2469.802043148325
2016-04-01,3562.090128821872,2879.1438507924,4265.682760338984
2016-05-01,4215.4044338050735,3536.1266179873815,4883.476092842531
2016-06-01,5802.8349033256345,5115.1900223995035,6519.755893779674
2016-07-01,4477.25364588428,3820.7184374620447,5119.762191922843
2016-08-01,1835.466383947936,1147.680202604171,2498.6496470978545
2016-09-01,4489.592342517636,3789.0452123418972,5173.601369485791
2016-10-01,5704.618787432936,4974.117409945243,6374.067905077382
2016-11-01,4087.763072098733,3386.2263974784773,4794.344859967257
2016-12-01,649.7441196466616,-24.492879831628294,1339.0298925730733
2017-01-01,8826.478472768715,8169.914360762173,9505.666066219823
2017-02-01,5158.985272835889,4472.535855736068,5828.534885014518
2017-03-01,4083.7219910041063,3367.335213103839,4725.794310955836
2017-04-01,4880.888738370328,4178.036927874872,5536.260410268899
2017-05-01,5018.726511400512,4349.274850264038,5706.231133459661
2017-06-01,6504.069286754551,5853.736732588463,7194.432136056661
2017-07-01,5470.408393065929,4735.705592922163,6184.936654267497
